Wall time,Step,Value
1741324899.4590898,18600000,3.4375
1741325153.4624994,18660000,5.25
1741325400.9823225,18720000,4.4375
1741325648.0628774,18780000,5.3125
1741325894.1929593,18840000,5.25
1741326139.2163029,18900000,4.625
1741326385.8888018,18960000,4.625
1741326630.3669133,19020000,3.1875
1741326884.5367672,19080000,4.5625
1741327134.918043,19140000,4.4375
1741327381.3075778,19200000,4.0
1741327651.4954412,19260000,4.625
1741327912.0804255,19320000,4.375
1741328167.9758754,19380000,5.25
1741328425.9610946,19440000,6.4375
1741328675.3223345,19500000,5.0625
1741328949.266925,19560000,4.9375
1741329205.1500106,19620000,4.0
1741329457.9740071,19680000,4.375
1741329712.2021842,19740000,5.1875
1741329988.7357233,19800000,5.125
1741330231.9461012,19860000,5.25
1741330487.6129825,19920000,5.125
1741330748.2917495,19980000,4.25
1741331261.2907488,20040000,3.1875
1741331502.8951774,20100000,2.8125
1741331772.1401937,20160000,2.25
1741332041.6392958,20220000,3.875
1741332286.551863,20280000,2.4375
1741332536.0670173,20340000,1.9375
1741332803.2043254,20400000,1.875
1741333068.1982963,20460000,2.6875
1741333329.3597803,20520000,2.0
1741333596.5176759,20580000,1.6875
1741333858.8012478,20640000,1.9375
1741334131.1028998,20700000,1.625
1741334402.0017338,20760000,1.875
1741334689.9978726,20820000,2.0
1741334963.3567314,20880000,1.25
1741335235.482051,20940000,1.0625
1741335474.5390637,21000000,1.8125
1741335725.4442742,21060000,1.375
1741335989.9426415,21120000,2.25
1741336258.3899288,21180000,1.875
1741336530.4560895,21240000,1.25
1741336780.6902373,21300000,1.4375
1741337043.7770228,21360000,1.125
1741337312.311968,21420000,2.0625
1741337567.1145308,21480000,1.0
1741337818.1094172,21540000,2.0625
1741338089.8376272,21600000,1.125
1741338353.4717567,21660000,0.3125
1741338607.6140633,21720000,0.4375
1741338855.495766,21780000,0.875
1741339107.501752,21840000,0.375
1741339386.386724,21900000,1.0625
1741339656.4370909,21960000,0.875
1741339914.7304199,22020000,0.75
1741340189.1592524,22080000,1.9375
1741340463.9457753,22140000,2.1875
1741340738.58226,22200000,2.5625
1741341010.7570171,22260000,1.9375
1741341272.1028652,22320000,5.5
1741341546.249017,22380000,4.3125
1741341806.4710128,22440000,3.6875
1741342067.9757292,22500000,3.8125
1741342335.3286557,22560000,3.1875
1741342601.4444008,22620000,3.5
1741342847.4543917,22680000,3.0
